

------------------------------------------------------------
Application started
10:38:04.007: (I) 13732: Timestamp: QDateTime(2024-01-24 10:38:04.007 Paris, Madrid Qt::LocalTime)
10:38:04.007: (I) 13732: OS version: "Windows 10 Version 2009"
10:38:04.007: (I) 13732: Kernel version: "10.0.22631"
10:38:04.007: (I) 13732: CPU architecture: "x86_64"
10:38:04.007: (I) 13732: Build ABI: "x86_64-little_endian-llp64"
10:38:04.007: (I) 13732: Executable: "C:/Program Files (x86)/Icecream Screen Recorder 7/recorder.exe"
10:38:04.007: (I) 13732: BuildVersion: "7.2.8"
10:38:04.007: (I) 13732: DisplayVersion: "7.28"
10:38:04.007: (I) 13732: IceDesktopApp headers: 1.38
10:38:04.007: (I) 13732: PID: 15356
10:38:04.007: (I) 13732: Main thread id: 13732
10:38:04.007: (I) 13732: Qt::AA_EnableHighDpiScaling: true
10:38:04.007: (I) 13732: Qt::AA_DisableHighDpiScaling: false
10:38:04.007: (I) 13732: Qt Screen 0: primary, winScale: 125%, pixelRatio: 1.25, logDpi: 96, phyDpi: 113.268, log/phy: 85%, geometry: {x:0, y:0, w: 1536, h: 864}, available: {x:0, y:0, w: 1536, h: 816}
10:38:04.007: (I) 13732: 
10:38:04.070: (I) 13732: IceTranslator::IceTranslator()          : Translations directory: "C:/Program Files (x86)/Icecream Screen Recorder 7/translations" , file prefix: "lang" system locale: "fr_FR"
10:38:04.086: (I) 13732: IceTranslator::translate()              : App translation applyed. Locale: "fr_FR"
10:38:04.091: (I) 13732: MetricSender::MetricSender()            : send metrics: true
10:38:04.109: (I) 13732: IceApplication::prepareNetworkAccessMana: Init SSL libraries: begin
10:38:05.244: (I) 13732: IceApplication::prepareNetworkAccessMana: Init SSL libraries: done, elapsed time: 1133 msec , Enabled: true , Version: "OpenSSL 1.1.1p  21 Jun 2022"
10:38:05.244: (I) 13732: Application::init                       : Entering 'Init app'
10:38:05.245: (!) 13732: LicenseService::loadLicenseInfo()       :   "License file not found: C:\\Users\\Lenovo\\AppData\\Local\\Icecream\\Icecream Screen Recorder\\v7/license.lic"
10:38:05.283: (I) 13732: IceRemoteProcHandler::startHandler()    :   "C:/Program Files (x86)/Icecream Screen Recorder 7/uservice.exe"
10:38:05.337: (I) 13732: Application::runDxDiagGeneration()      :   Run DxDiag generation...
10:38:05.337: (I) 13732: Application::init                       : Leaving 'Init app'. Elapsed time: 93
10:38:05.337: (I) 13732: Application::runUpdateChecker           : Entering 'Init update checker...'
10:38:05.338: (I) 14476: Application::runDxDiagGeneration::lambda:   Run DxDiag from thread pool...
10:38:05.338: (I) 14476: Application::runDxDiagGeneration::lambda:   Run DxDiag tool complete. File already exists
10:38:05.352: (I) 13732: Application::runUpdateChecker           : Leaving 'Init update checker...'. Elapsed time: 14
10:38:05.353: (I) 13732: IceStyleManager::IceStyleManager()      : Init StyleManager done
10:38:05.354: (I) 13732: IceStyleManager::setCurrentStyle()      : Set current style: "DefaultStyle"
10:38:05.357: (I) 13732: IceStyleManager::setCurrentStyle()      : Default app font was changed to QFont(Segoe UI,-1,14,5,50,0,0,0,0,0)
10:38:05.472: (I) 13732: Ui::createMainWindow                    : Entering 'Create main window'
10:38:05.472: (I) 13732: IceWindow::IceWindow()                  :   MainWindow(0x261b1016970) early restore geometry: true QRect(231,115 1073x606) dpr: 1.25 QFlags<Qt::WindowState>(WindowNoState)
10:38:07.333: (I) 13732: IceCloudClient::enableAutoRefresh()     :   disable cloud fetch
10:38:07.415: (W) 13732:     OpenType support missing for "Segoe UI", script 20
10:38:07.416: (W) 13732:     OpenType support missing for "MS Shell Dlg 2", script 20
10:38:07.417: (W) 13732:     OpenType support missing for "Arial", script 20
10:38:07.417: (W) 13732:     OpenType support missing for "MS UI Gothic", script 20
10:38:07.418: (W) 13732:     OpenType support missing for "SimSun", script 20
10:38:07.420: (W) 13732:     OpenType support missing for "Segoe UI Emoji", script 20
10:38:07.420: (W) 13732:     OpenType support missing for "Segoe UI Symbol", script 20
10:38:07.423: (W) 13732:     OpenType support missing for "Nirmala UI", script 20
10:38:07.468: (I) 13732: AudioDeviceInternal::enumAudioDevices() :   Audio output devices count: 1
10:38:07.469: (I) 13732: AudioDeviceInternal::enumAudioDevices() :     Haut-parleurs (Realtek(R) Audio), id: {0.0.0.00000000}.{4b54f4c0-3306-4b1d-9311-056f998ea4bf}, exclusive use: false, exclusive prefer: false
10:38:07.474: (I) 13732: AudioDeviceInternal::enumAudioDevices() :   Audio input devices count: 1
10:38:07.475: (I) 13732: AudioDeviceInternal::enumAudioDevices() :     Réseau de microphones (Technologie Intel® Smart Sound pour microphones numériques), id: {0.0.1.00000000}.{acdbc3f8-a4cd-46c1-8b82-df760256b4eb}, exclusive use: true, exclusive prefer: true
10:38:07.499: (I) 13732: CameraGrabber::availableDeviceNames()   :   Camera devices count: 1
